DataSet	DataRange	DataStruct	Algorithm	Tweak	tElap	tElapSlower	tInit	tRun	tRunSlower	CheckSum
chembl_22.smi	839195-1007034	GraphUtil+BondMap	DepthFirst	VisitFlag	815.2	2.4x	731.2	84.0	1.3x	29686642
chembl_22.smi	839195-1007034	GraphUtil+BondMap	DepthFirst	VisitArray	746.9	2.2x	682.8	64.1	1.0x	29686642
chembl_22.smi	839195-1007034	GraphUtil	DepthFirst	VisitArray	333.0	1.0x	269.3	63.7	1.0x	29686642
chembl_22.smi	839195-1007034	AtomRef	DepthFirst	VisitFlag	574.1	1.7x	480.2	94.0	1.5x	29686642
chembl_22.smi	839195-1007034	AtomRef	DepthFirst	VisitArray	348.6	1.0x	262.7	85.9	1.3x	29686642
chembl_22.smi	1007034-1174873	AtomContainer	DepthFirst	VisitFlag	1102.9	3.0x	0.0	1102.9	16.9x	34569521
chembl_22.smi	1007034-1174873	AtomContainer	DepthFirst	VisitArray	1235.3	3.4x	0.0	1235.3	19.0x	34569521
chembl_22.smi	1007034-1174873	GraphUtil	DepthFirst	VisitFlag	415.5	1.1x	331.4	84.1	1.3x	34569521
chembl_22.smi	1007034-1174873	GraphUtil+BondMap	DepthFirst	VisitFlag	944.3	2.6x	857.4	86.8	1.3x	34569521
chembl_22.smi	1007034-1174873	GraphUtil+BondMap	DepthFirst	VisitArray	859.1	2.4x	793.1	66.0	1.0x	34569521
chembl_22.smi	1007034-1174873	GraphUtil	DepthFirst	VisitArray	362.8	1.0x	297.6	65.2	1.0x	34569521
chembl_22.smi	1007034-1174873	AtomRef	DepthFirst	VisitFlag	616.0	1.7x	517.9	98.1	1.5x	34569521
chembl_22.smi	1007034-1174873	AtomRef	DepthFirst	VisitArray	371.9	1.0x	281.7	90.2	1.4x	34569521
chembl_22.smi	1174873-1342712	AtomContainer	DepthFirst	VisitFlag	1392.3	3.4x	0.0	1392.3	20.6x	39958043
chembl_22.smi	1174873-1342712	AtomContainer	DepthFirst	VisitArray	1550.6	3.8x	0.0	1550.6	23.0x	39958043
chembl_22.smi	1174873-1342712	GraphUtil	DepthFirst	VisitFlag	459.9	1.1x	372.3	87.6	1.3x	39958043
chembl_22.smi	1174873-1342712	GraphUtil+BondMap	DepthFirst	VisitFlag	1118.9	2.7x	1028.5	90.4	1.3x	39958043
chembl_22.smi	1174873-1342712	GraphUtil+BondMap	DepthFirst	VisitArray	1044.2	2.5x	975.8	68.5	1.0x	39958043
